书籍ID,书籍名称,书籍描述,稀有度
2000193,雨之子·下卷,著名诗人塞尔迪的长篇幻想故事，故事简单经典，但叙事与比喻异常优美，引人入胜。因为涉及到的很多宗教问题，被列为禁书，十分稀少，家里有上卷，是妻子最喜欢的书之一。,2
2000203,匕首与弯刀,阅读本书后，你可以获得战斗+1。,1
2000204,古典摔跤,阅读本书后，你可以获得战斗+1，体魄+1。你至少需要2点智慧才能阅读。,1
2000205,军用长矛指南,阅读本书后，你可以获得战斗+2。,2
2000206,马上竞技,阅读本书后，你可以获得战斗+2。,2
2000207,夜间的战斗,阅读本书后，你可以获得战斗+3，隐匿+2。你至少需要3点智慧才能阅读。,3
2000208,以弱胜强,阅读本书后，你可以获得战斗+3。你至少需要4点智慧才能阅读。,3
2000209,体面,阅读本书后，你可以获得社交+1。,1
2000210,圣训六十篇,阅读本书后，你可以获得社交+1。,1
2000211,宫廷礼仪指南,阅读本书后，你可以获得社交+2。,2
2000212,文书的工作,阅读本书后，你可以获得社交+2。,2
2000213,艾娃日记,阅读本书后，你可以获得社交+3。,3
2000214,相面术,阅读本书后，你可以获得社交+3。,3
2000215,猎人故事集,阅读本书后，你可以获得隐匿+1，生存+1。你至少需要2点智慧才能阅读。,2
2000216,大盗传奇,阅读本书后，你可以获得隐匿+1。你至少需要2点智慧才能阅读。,1
2000217,斥候训练手册,阅读本书后，你可以获得隐匿+2。,2
2000218,捉贼人回忆录,阅读本书后，你可以获得隐匿+2。,2
2000219,狗皮,阅读本书后，你可以获得隐匿+3。你至少需要1点魔力才能阅读。,3
2000220,歌声与寂静,阅读本书后，你可以获得隐匿+3。你至少需要3点智慧才能阅读。,3
2000221,草药学入门,阅读本书后，你可以获得生存+1。你至少需要3点智慧才能阅读。,1
2000222,地图与边疆,阅读本书后，你可以获得生存+1。,1
2000223,游牧民的生活,阅读本书后，你可以获得生存+2。,2
2000224,动物与植物图鉴,阅读本书后，你可以获得生存+2。你至少需要2点智慧才能阅读。,2
2000225,西行记,阅读本书后，你可以获得生存+3。你至少需要2点智慧才能阅读。,3
2000226,沙漠之书,阅读本书后，你可以获得生存+3。你至少需要1点魔力才能阅读。,3
2000227,健身手册,阅读本书后，你可以获得体魄+1。,1
2000228,士兵的训练,阅读本书后，你可以获得体魄+1。,1
2000229,勇武故事集,阅读本书后，你可以获得体魄+2。你至少需要2点智慧才能阅读。,2
2000230,古代人的呼吸,阅读本书后，你可以获得体魄+3。你至少需要3点智慧才能阅读。,3
2000231,水银之血,阅读本书后，你可以获得体魄+3。你至少需要1点魔力才能阅读。,3
2000232,贤者的话语,阅读本书后，你可以获得智慧+1。,1
2000233,思辨集,阅读本书后，你可以获得智慧+1。你至少需要3点智慧才能阅读。,1
2000234,方圆运算,阅读本书后，你可以获得智慧+2。你至少需要3点智慧才能阅读。,2
2000235,洞开的思想,阅读本书后，你可以获得智慧+3，魅力-1，体魄-1。你至少需要1点魔力才能阅读。,3
2000236,如何取悦你的爱人,阅读本书后，你可以获得魅力+1。,1
2000237,四十七种优雅姿态,阅读本书后，你可以获得魅力+1。,1
2000238,神秘的精油,阅读本书后，你可以获得魅力+2。,2
2000239,面具的秘密,阅读本书后，你可以获得魅力+2。,2
2000240,密教的修行,阅读本书后，你可以获得魅力+2 魔力+1。你至少需要4点智慧才能阅读。,3
2000241,第五元素,阅读本书后，你可以获得魔力+1。你至少需要4点智慧才能阅读。,2
2000242,耳语之书,阅读本书后，你可以获得魔力+2 智慧-1。你至少需要3点智慧才能阅读。,3
2000243,蠕虫密卷,阅读本书后，你可以获得魔力+1 体魄-1。你至少需要1点魔力才能阅读。,2
2000244,星空学徒,阅读本书后，你可以获得魔力+1 魅力-1。你至少需要1点魔力才能阅读。,3
2000245,奥义书,阅读本书后，你可以获得魔力+3。你至少需要5点智慧和3点魔力才能阅读。,4
2000462,献祭仪式图纸,一张邪恶的仪式设计图，写着如何献祭活人获取黑暗力量的仪式。,3
2000465,禁忌的古书,一本禁忌的古书，听说阅读者会受到诅咒。,3
2000467,有趣的情诗,阅读本诗后，你的魅力+1,1
